x,y,G
25513297.20459999889,6686076.05109000020,1.35947233645
25513397.20459999889,6686076.05109000020,1.31718695156
25513497.20459999889,6686076.05109000020,1.31736874594
25513597.20459999889,6686076.05109000020,1.31755840781
25500097.20459999889,6685976.05109000020,1.28971660125
25500197.20459999889,6685976.05109000020,1.28993022437
25500397.20459999889,6685976.05109000020,1.29042398937
25500497.20459999889,6685976.05109000020,1.29060697563
25500597.20459999889,6685976.05109000020,1.29082024094
25500697.20459999889,6685976.05109000020,1.29103326812
25500797.20459999889,6685976.05109000020,1.29124617562
25500897.20459999889,6685976.05109000020,1.29145276531
25500997.20459999889,6685976.05109000020,1.29167163375
25501097.20459999889,6685976.05109000020,1.29188084594
25501197.20459999889,6685976.05109000020,1.29209971437
25501297.20459999889,6685976.05109000020,1.29230892656
25501397.20459999889,6685976.05109000020,1.29252326500
25501997.20459999889,6685976.05109000020,1.29379904281
25502097.20459999889,6685976.05109000020,1.29401159281
25511397.20459999889,6685976.05109000020,1.35544303161
25511497.20459999889,6685976.05109000020,1.35564570258
25511597.20459999889,6685976.05109000020,1.35585317290
25511697.20459999889,6685976.05109000020,1.35604698419
25511797.20459999889,6685976.05109000020,1.35624067258
25511897.20459999889,6685976.05109000020,1.35644801968
25511997.20459999889,6685976.05109000020,1.35664158484
25512097.20459999889,6685976.05109000020,1.35683527290
25512197.20459999889,6685976.05109000020,1.35704175903
25512297.20459999889,6685976.05109000020,1.35723249387
25512397.20459999889,6685976.05109000020,1.35743664161
25512497.20459999889,6685976.05109000020,1.35761654774
25512597.20459999889,6685976.05109000020,1.35780666710
25512697.20459999889,6685976.05109000020,1.35801069194
25512797.20459999889,6685976.05109000020,1.35820068839
25512897.20459999889,6685976.05109000020,1.35840471323
25512997.20459999889,6685976.05109000020,1.35859470968
25513097.20459999889,6685976.05109000020,1.35878458323
25513197.20459999889,6685976.05109000020,1.31652009500
25513297.20459999889,6685976.05109000020,1.31670403469
25513397.20459999889,6685976.05109000020,1.31689786906
25513497.20459999889,6685976.05109000020,1.31708693500
25500097.20459999889,6685876.05109000020,1.28956735125
25500197.20459999889,6685876.05109000020,1.28977477562
25500297.20459999889,6685876.05109000020,1.28995478156
25500397.20459999889,6685876.05109000020,1.29019832625
25500497.20459999889,6685876.05109000020,1.29041111469
25500597.20459999889,6685876.05109000020,1.29062366500
25500697.20459999889,6685876.05109000020,1.29084336750
25500797.20459999889,6685876.05109000020,1.29105222219
25500897.20459999889,6685876.05109000020,1.29126095781
25500997.20459999889,6685876.05109000020,1.29147923000
25501097.20459999889,6685876.05109000020,1.29168796531
25501197.20459999889,6685876.05109000020,1.29190623750
25501297.20459999889,6685876.05109000020,1.29211485375
25501397.20459999889,6685876.05109000020,1.29232215875
25501497.20459999889,6685876.05109000020,1.29253423219
25501997.20459999889,6685876.05109000020,1.29359459875
25502097.20459999889,6685876.05109000020,1.29380655281
25511197.20459999889,6685876.05109000020,1.31247687344
25511297.20459999889,6685876.05109000020,1.31262457375
25511397.20459999889,6685876.05109000020,1.35516566613
25511497.20459999889,6685876.05109000020,1.35536329194
25511597.20459999889,6685876.05109000020,1.35557002419
25511697.20459999889,6685876.05109000020,1.35576297387
25511797.20459999889,6685876.05109000020,1.35595592387
25511897.20459999889,6685876.05109000020,1.35616253258
25511997.20459999889,6685876.05109000020,1.35635535935
25512097.20459999889,6685876.05109000020,1.35656209161
25512197.20459999889,6685876.05109000020,1.35675418000
25512297.20459999889,6685876.05109000020,1.35694442258
25512397.20459999889,6685876.05109000020,1.35714783194
25512497.20459999889,6685876.05109000020,1.35733745935
25512597.20459999889,6685876.05109000020,1.35752696387
25512697.20459999889,6685876.05109000020,1.35773037323
25512797.20459999889,6685876.05109000020,1.35791987742
25512897.20459999889,6685876.05109000020,1.35812328710
25512997.20459999889,6685876.05109000020,1.35831266839
25513097.20459999889,6685876.05109000020,1.31604874125
