XCOORD;YCOORD;GEOLAT;GEOLON;UNIT;UNITAREA;U;TH;RHO;K;PVEL;METAM;SIO2;FE2O3;POR;XEUREF;YEUREF
7187350;3512470;64.7834156;27.25858292;76;55413.3;0.93;70.7;2657;4.8057;5830;0;73.1;1.48;0.42;512120.6603;7184388.352
7116200;3501650;64.14543329;27.03035794;75;3114.8;8.1;43.6;2695;4.1583;5450;0;70.7;5.42;0.57;501305.0358;7113263.808
6812960;3562000;61.41986321;28.15807689;15;44421.3;16;15.8;2632;4.316;5380;0;70.7;2.1415478;0.58;561637.5936;6810134.791
7415470;3479760;66.82879303;26.53529871;39;24592;7.24;48.4;2605;4.8057;4530;0;75.3;0.62;0.59;479422.1569;7412427.334
6689880;3290340;60.26604792;23.20775123;14;13371;5.22;55.2;2621;4.8721;5370;0;72.8;1.8446105;0.52;290076.9264;6687096.113
7466860;3386420;67.2686212;24.36241109;39;24592;5.84;54.5;2629;3.4362;3540;3;72.4;2.73;1.71;386114.9014;7463799.391
7359850;3352430;66.29583325;23.70669276;60;14280.3;5.79;53.4;2628;4.1832;5250;3;74.2;2.1;0.88;352136.6883;7356826.644
7518750;3531900;67.75381276;27.75069089;76;55413.3;17;13.6;2599;3.32;3540;0;75.7;0.47509968;1.19;531544.3445;7515670.761
6683940;3249090;60.18955952;22.47209485;14;13371;7.02;47.6;2614;5.0298;5380;0;73.5;1.5656694;0.41;248841.938;6681157.895
6797380;3524380;61.28422322;27.45148118;8;9523.8;5.87;51.9;2620;4.4405;#N/A;1;72.8;2.3665003;0.6;524031.1996;6794560.085
7388160;3449020;66.58034647;25.84710051;39;24592;10;37.6;2605;3.9591;4670;3;75.6;1.28;0.84;448693.0036;7385126.973
7520150;3580350;67.75706904;28.89750987;67;6997.8;17;12.6;2577;3.8097;#N/A;0;76.1;0.39951564;#N/A;579977.2937;7517069.876
7133813;3358624;64.27424097;24.07778449;15;44421.3;11.5;30.2;2639;4.4571;5730;1;73.4;1.77;0.51;358329.9605;7130868.633
7732070;3544140;69.66428324;28.13326452;85;3786.1;7.81;44.2;2645;4.0172;#N/A;3;72.7;2.75;#N/A;543782.038;7728913.998
