XCOORD YCOORD GEOLAT GEOLON UNIT UNITAREA U TH RHO K PVEL METAM SIO2 FE2O3 POR
6684350 3252930 60.195571348 22.540598956 14 13371 8.04 41 2632 5.0132 5450 0 72.6 1.5836656 0.4
7416790 3488700 66.841096210 26.738691407 39 24592 9.68 36.7 2574 4.4986 3190 0 74.7 0.97 2.34
7046610 3565980 63.515078542 28.322099962 76 55413.3 4.44 56.2 2670 2.0169 4910 3 72.7 1.72 0.61
6683970 3288810 60.212330162 23.186336299 14 13371 8.67 37.8 2623 4.8721 5020 0 73.9 1.709639 0.81
6935720 3213040 62.415363030 21.439470187 9 3089.7 5.64 49.8 2601 4.7891 4270 1 74.5 1.8985991 1.03
7136611 3366787 64.302576754 24.243561192 15 44421.3 5.65 48.3 2656 4.6397 6090 1 69.1 3.02 0.4
6811610 3558490 61.408293912 28.091925923 15 44421.3 18.9 0.46 2613 4.4571 5170 0 73.6 0.69465332 0.8
6668140 3349230 60.097258271 24.286531613 14 13371 5.54 48.1 2644 4.5982 5620 1 72.9 1.9435896 0.3
7400140 3576500 66.682531469 28.727510395 39 24592 2.21 61.5 2628 4.0421 ND 0 72.9 1.98 ND
7428150 3468150 66.941488321 26.267620547 39 24592 5.01 49.7 2629 4.7891 4970 0 72 1.87 0.7
7410730 3525240 66.785943858 27.569678361 39 24592 3.03 58.2 2626 3.8678 ND 3 74.6 1.33 1.37
6695540 3251360 60.294741875 22.498637320 14 13371 9.18 34 2734 2.5066 5500 0 62.7 5.4798429 0.45
6766320 3482820 61.005855629 26.679285989 8 9523.8 8.35 36.5 2625 4.6812 4010 1 73.3 2.2675212 0.61
7006459 3341095 63.125909520 23.846202093 24 16584.2 16.1 7.74 2645 4.1666 5140 0 75.2 0.59 0.67
7406230 3443350 66.741353181 25.710934095 39 24592 5.09 48.5 2628 4.4239 2860 0 70.1 2.23 1.31
6734500 3467150 60.719303171 26.395066368 8 9523.8 9.67 30.1 2663 4.5899 5320 1 69.3 4.1031336 0.43
6885400 3202730 61.958015361 21.326104987 9 3089.7 7.26 39.8 2631 4.6646 4990 0 75.4 1.7726257 0.49
7151980 3454950 64.463378873 26.060189957 39 24592 11.1 27.2 2629 3.3947 4820 0 74.2 1.73 0.53
7403770 3488160 66.724325006 26.727687627 39 24592 4.1 52.3 2630 3.9508 4260 0 71.9 2.01 1.03
7324288 3578702 66.002085769 28.729855276 76 55413.3 5.32 46.5 2637 4.6231 5680 0 72.1 1.44 0.58
7685080 3565550 69.238810263 28.652145700 12 940.7 6.83 41.3 2625 4.482 4730 0 74 1.4216998 0.63
6689520 3103370 60.123973258 19.852852616 9 3089.7 9.88 30.3 2601 4.6397 5140 1 75.9 1.5206789 0.58
6876490 3643440 61.967808690 29.731922737 14 13371 2.44 57.3 2633 4.4405 4660 0 72.6 2.4474832 0.64
7128700 3426838 64.249738801 25.487680086 24 16584.2 8.91 33.2 2639 4.3409 6020 1 73.6 1.82 0.5
7537850 3479700 67.926064247 26.512040360 12 940.7 4.93 50.9 2589 3.2121 2410 0 72.1 3.2573122 2.68
7386040 3485260 66.565210877 26.664111466 39 24592 7.89 35.8 2644 4.98 4930 3 72.8 2.39 0.73
7291400 3431440 65.709513802 25.503118946 76 55413.3 8.01 35.3 2652 4.1085 5090 3 69.3 2.28 0.65
6761740 3212630 60.860857908 21.704956497 9 3089.7 3.96 49.6 2638 4.8721 ND 1 71.1 3.0773502 0.74
7395620 3536040 66.649388064 27.810627925 39 24592 2.59 54.9 2622 4.9302 4990 0 73 1.72 0.66
6763800 3546470 60.980914474 27.855207512 8 9523.8 9.49 28.2 2670 4.4986 ND 1 69.7 3.7432096 1.03
