x;y;U;A
526865.0878;7371871.6090;39;4.237889846520
577994.9377;7074386.6840;63;4.237201236160
585250.1301;7024698.9010;76;4.227790780200
359671.8039;6686377.0830;14;4.224038721400
228906.5379;6852834.3200;15;4.201473766000
340548.0168;6755951.1150;14;4.199991072120
494906.9466;7163045.8230;39;4.198184284800
673185.0497;6973746.6750;68;4.193998736240
453887.6609;6702442.6120;8;4.190628349840
590923.5620;7202418.3590;76;4.183849990680
537364.0130;7705052.6880;85;4.158294748840
277831.3839;6686376.2440;14;4.148077288800
90578.9808;6701648.7250;9;4.143279566800
446730.0516;6713108.5910;8;4.138035088960
370488.0356;6675091.3090;19;4.129510745000
409573.9186;6694304.8650;14;4.122982893360
299583.6297;6666093.9490;14;4.118361574000
446379.6728;6747585.9110;14;4.105749393920
410956.1747;7394813.5530;39;4.103225647040
430639.5329;7202431.2110;39;4.101208052640
472234.4841;7289550.9020;76;4.101029910720
546501.1615;7733762.2250;83;4.098263118960
634810.2762;6875392.0960;14;4.094802705000
492733.5319;6715028.7690;8;4.093033401600
473829.9190;6742068.5450;8;4.084020298000
192492.3773;6695991.8990;14;4.080856440960
365792.2369;7517281.1350;39;4.080589465600
511150.6779;7367083.2960;53;4.065138222080
384282.3834;6734349.6370;14;4.063867831920
524547.2104;7071899.1740;68;4.057260643680
204977.9907;6681887.2010;14;4.038746290400
366551.6904;7454492.8300;39;4.034303200080
547797.8857;7342012.2220;39;4.028854460400
466402.0873;6794199.4570;8;4.024290575160
427322.4516;7049335.9130;24;4.015740208040
310359.6511;6673331.4460;18;4.013762627000
561345.9889;7739739.8990;12;4.013745411960
304781.8662;6656857.3840;14;4.012681632320
513125.1809;6790891.3200;8;4.009476818000
291286.6626;6665094.2010;14;4.006767255840
337399.9922;6665374.6460;14;4.000756824000
707237.0299;7009397.9880;67;3.999443387520
466463.2780;6692786.3970;8;3.991146266640
521856.9479;7392884.1410;39;3.989406729280
197258.9177;6805750.9890;14;3.977935942480
536161.9211;7230192.1910;76;3.975477621360
613117.6521;7237863.5670;67;3.964678794240
436607.7260;7161595.5400;24;3.935812083000
489758.2794;7321089.6950;76;3.927889394000
423431.6526;7140484.9300;15;3.911834810240
435993.6480;6732601.1910;14;3.906090167040
574330.9238;7716018.1830;12;3.903554724480
476722.8955;7306604.8360;76;3.901702102000
360201.8843;6654508.7670;19;3.875438868480
562652.8438;7430740.4460;60;3.875324525400
524201.4110;6779135.8240;8;3.873268521240
378744.1955;6756721.3310;14;3.867572028320
628635.7545;7077418.0030;76;3.862790368800
458623.5408;6898491.1390;24;3.861679975200
479398.2464;6720476.5460;8;3.861431134400
415064.7182;7387176.2490;39;3.858793073600
371299.9515;7385996.5880;39;3.855344729280
400057.4109;6685048.0550;14;3.849250704000
436067.3686;7372371.4750;53;3.839266158000
399060.8943;7545581.1140;39;3.834304335360
378517.4871;7355507.2910;53;3.818620498400
436647.3881;7423013.6720;39;3.818224964360
468572.2797;6708360.7520;8;3.794670759240
525821.9606;6704343.2050;8;3.780508183280
535717.8842;6743479.1330;8;3.779545592000
564884.7299;7739150.0840;85;3.778442622240
583225.7427;7448334.2980;67;3.777519382640
522831.5254;6801227.5890;8;3.770069371760
352874.2715;6684577.6570;14;3.768622009920
263065.1344;6810310.3380;15;3.767943235320
276881.3528;7048182.3660;28;3.764987136000
236705.5462;6750821.8200;9;3.763706836400
390349.9880;6752752.9940;14;3.763599062400
502809.2036;6770388.7880;8;3.755125188000
388344.0333;7362894.7260;39;3.753485819600
426250.1758;7181874.3030;39;3.751600300600
377768.0797;7512062.8900;39;3.745174196000
466452.2638;6772557.3810;14;3.741883563400
558134.3664;7423293.0760;39;3.734332931520
456710.1992;7391194.8310;39;3.730279209600
279160.6124;6715105.5500;14;3.724389059520
574642.4151;7058186.5810;76;3.723552764720
224590.0711;6745553.6430;14;3.722426463040
570604.6903;6783135.0900;18;3.714629716800
336881.3940;7028290.4430;30;3.711217236480
442495.3722;7478514.2150;39;3.709231546880
455396.3602;6749915.3250;14;3.708762521600
283497.8522;6805042.5580;15;3.702561408000
534198.9446;6706062.7280;8;3.693347952840
530449.9706;6729634.1180;8;3.681443651040
419460.4842;7108487.4050;26;3.681044767800
553589.8616;6855758.0610;14;3.670628704600
578289.5777;7719376.9280;12;3.668734789120
