Aika [a];Lämpöteho [kW];Kentästä tuleva lämpötila [°C];Kenttään menevä lämpötila
4.000374610;-6257.177;20.898;40
4.000529039;-5875.415;22.306;40
4.000837896;-5417.209;23.851;40
4.001146753;-5110.677;24.838;40
4.001764468;-4739.302;25.995;40
4.002999897;-4332.934;27.231;40
4.004235326;-4076.597;28.002;40
4.006706185;-3783.827;28.875;40
4.011647902;-3479.607;29.777;40
4.016589619;-3291.732;30.332;40
4.026473053;-3076.784;30.965;40
4.046239920;-2852.140;31.627;40
4.066006788;-2713.657;32.034;40
4.105540523;-2555.633;32.498;40
4.184607994;-2388.487;32.989;40
4.342742936;-2220.225;33.482;40
4.500000000;-2116.357;33.786;40
4.500000078;368.863;34.022;2
4.500000156;262.142;33.975;2
4.500000311;565.585;33.960;2
4.500000622;1163.682;33.898;2
4.500001244;1924.491;33.798;2
4.500001867;2526.013;33.711;2
4.500003111;3351.728;33.553;2
4.500005600;4401.815;33.285;2
4.500008089;5133.711;33.052;2
4.500013066;6016.337;32.668;2
4.500018044;6608.268;32.344;2
4.500028000;7267.896;31.837;2
4.500047910;7800.714;30.993;2
4.500067821;7964.763;30.117;2
4.500107643;7836.233;28.267;2
4.500147465;7596.166;26.620;2
4.500227108;7166.012;24.416;2
4.500386394;6604.369;22.093;2
4.500545681;6223.861;20.701;2
4.500864254;5768.019;19.171;2
4.501182827;5463.300;18.193;2
4.501819973;5094.243;17.046;2
4.503094266;4690.618;15.819;2
4.504368558;4436.187;15.054;2
4.506917143;4145.751;14.189;2
4.512014313;3843.780;13.294;2
4.517111482;3657.139;12.743;2
4.527305822;3443.507;12.113;2
4.547694501;3220.126;11.456;2
4.568083180;3082.276;11.050;2
4.608860537;2924.591;10.587;2
4.690415253;2757.012;10.095;2
4.853524684;2586.731;9.596;2
5.000000000;2488.172;9.307;40
5.000000075;16.361;9.070;40
5.000000151;124.072;9.118;40
5.000000302;-172.328;9.130;40
5.000000603;-767.030;9.192;40
5.000001206;-1512.203;9.290;40
5.000001810;-2107.969;9.375;40
5.000003016;-2921.941;9.530;40
5.000005429;-3964.243;9.790;40
5.000007842;-4697.726;10.019;40
5.000012668;-5587.010;10.397;40
5.000017494;-6183.536;10.716;40
5.000027145;-6851.792;11.217;40
5.000046449;-7406.392;12.038;40
5.000065752;-7588.531;12.880;40
5.000104359;-7482.173;14.681;40
5.000142966;-7252.120;16.310;40
5.000220180;-6827.291;18.524;40
5.000374607;-6266.116;20.872;40
5.000529034;-5884.351;22.279;40
5.000837889;-5426.143;23.825;40
5.001146743;-5119.610;24.812;40
5.001764452;-4748.234;25.968;40
5.002999871;-4341.862;27.205;40
5.004235289;-4085.522;27.976;40
5.006706126;-3792.746;28.849;40
5.011647799;-3488.514;29.751;40
5.016589472;-3300.628;30.306;40
5.026472819;-3085.657;30.939;40
5.046239512;-2860.970;31.601;40
5.066006205;-2722.443;32.008;40
5.105539592;-2564.335;32.473;40
5.184606364;-2397.028;32.964;40
5.342739910;-2228.469;33.458;40
5.500000000;-2124.327;33.763;40
5.500000078;360.889;33.998;2
5.500000156;254.180;33.951;2
5.500000311;557.601;33.937;2
5.500000622;1155.689;33.875;2
5.500001244;1916.548;33.775;2
5.500001867;2518.047;33.688;2
5.500003111;3343.637;33.530;2
5.500005600;4393.732;33.262;2
5.500008089;5125.776;33.028;2
5.500013066;6008.780;32.645;2
5.500018044;6600.375;32.321;2
5.500027999;7259.941;31.814;2
5.500047910;7792.767;30.970;2
5.500067821;7956.742;30.094;2
5.500107642;7828.280;28.244;2
5.500147463;7588.193;26.596;2
5.500227106;7158.047;24.393;2
5.500386392;6596.419;22.070;2
5.500545677;6215.899;20.678;2
5.500864248;5760.059;19.147;2
5.501182819;5455.339;18.170;2
5.501819961;5086.282;17.023;2
5.503094244;4682.659;15.796;2
5.504368528;4428.230;15.031;2
5.506917095;4137.798;14.165;2
5.512014230;3835.835;13.271;2
5.517111365;3649.203;12.720;2
5.527305634;3435.587;12.090;2
5.547694172;3212.241;11.433;2
5.568082711;3074.425;11.027;2
