x,y,k_rock,Cp_rock,rho_rock,T_surface,q_geothermal,E_borehole,E_hectare
25501697.204600,6668976.051090,3.17,731,2675,6.980,40.708,5.16,129.0
25501797.204600,6668976.051090,3.17,731,2675,6.979,40.710,5.16,129.0
25493697.204600,6669076.051090,3.20,721,2640,7.020,40.549,5.13,128.2
25493797.204600,6669076.051090,3.20,721,2640,7.020,40.550,5.13,128.2
25493897.204600,6669076.051090,3.20,721,2640,7.021,40.550,5.13,128.2
25499797.204600,6669076.051090,2.66,731,2906,7.005,40.656,5.16,129.1
25499897.204600,6669076.051090,2.66,731,2906,7.004,40.659,5.16,129.0
25499997.204600,6669076.051090,2.66,731,2906,7.003,40.661,5.16,129.0
25500097.204600,6669076.051090,2.66,731,2906,7.002,40.664,5.16,129.0
25500197.204600,6669076.051090,2.66,731,2906,7.001,40.667,5.16,129.0
25500297.204600,6669076.051090,2.66,731,2906,7.000,40.669,5.16,129.0
25500397.204600,6669076.051090,2.66,731,2906,7.000,40.672,5.16,129.0
25500497.204600,6669076.051090,2.66,731,2906,6.999,40.674,5.16,129.0
25500597.204600,6669076.051090,2.66,731,2906,6.998,40.677,5.16,129.0
25500697.204600,6669076.051090,2.66,731,2906,6.996,40.680,5.16,129.0
25500797.204600,6669076.051090,3.17,731,2675,6.995,40.682,5.17,129.2
25500897.204600,6669076.051090,3.17,731,2675,6.994,40.685,5.17,129.2
25500997.204600,6669076.051090,3.17,731,2675,6.993,40.688,5.17,129.2
25501097.204600,6669076.051090,3.17,731,2675,6.991,40.691,5.17,129.1
25501197.204600,6669076.051090,3.17,731,2675,6.990,40.694,5.16,129.1
25501597.204600,6669076.051090,3.17,731,2675,6.981,40.708,5.16,129.0
25501697.204600,6669076.051090,3.17,731,2675,6.980,40.709,5.16,129.0
25501797.204600,6669076.051090,3.17,731,2675,6.977,40.712,5.16,128.9
25493697.204600,6669176.051090,3.20,721,2640,7.020,40.549,5.13,128.2
25493797.204600,6669176.051090,3.20,721,2640,7.020,40.550,5.13,128.2
25499697.204600,6669176.051090,2.66,731,2906,7.005,40.656,5.16,129.1
25499797.204600,6669176.051090,2.66,731,2906,7.005,40.658,5.16,129.1
25499897.204600,6669176.051090,2.66,731,2906,7.004,40.660,5.16,129.0
25499997.204600,6669176.051090,2.66,731,2906,7.003,40.663,5.16,129.0
25500097.204600,6669176.051090,2.66,731,2906,7.002,40.666,5.16,129.0
25500197.204600,6669176.051090,2.66,731,2906,7.001,40.668,5.16,129.0
25500297.204600,6669176.051090,2.66,731,2906,7.000,40.671,5.16,129.0
25500397.204600,6669176.051090,2.66,731,2906,6.999,40.674,5.16,129.0
25500497.204600,6669176.051090,2.66,731,2906,6.998,40.676,5.16,129.0
25500697.204600,6669176.051090,2.66,731,2906,6.995,40.682,5.16,129.0
25500797.204600,6669176.051090,2.66,731,2906,6.995,40.684,5.16,129.0
25500897.204600,6669176.051090,2.66,731,2906,6.993,40.687,5.16,128.9
25500997.204600,6669176.051090,2.66,731,2906,6.992,40.690,5.16,128.9
25501097.204600,6669176.051090,3.17,731,2675,6.991,40.693,5.17,129.1
25501697.204600,6669176.051090,3.17,731,2675,6.979,40.711,5.16,129.0
25501797.204600,6669176.051090,3.17,731,2675,6.976,40.714,5.16,128.9
25501897.204600,6669176.051090,3.17,731,2675,6.974,40.717,5.16,128.9
25501997.204600,6669176.051090,3.17,731,2675,6.970,40.720,5.15,128.9
25502197.204600,6669176.051090,3.17,731,2675,6.967,40.727,5.15,128.8
25502297.204600,6669176.051090,3.17,731,2675,6.971,40.730,5.15,128.9
25502397.204600,6669176.051090,3.17,731,2675,6.975,40.733,5.16,128.9
25499697.204600,6669276.051090,3.17,731,2675,7.005,40.658,5.17,129.3
25499797.204600,6669276.051090,3.17,731,2675,7.004,40.659,5.17,129.3
25499897.204600,6669276.051090,3.17,731,2675,7.003,40.662,5.17,129.3
25499997.204600,6669276.051090,2.66,731,2906,7.002,40.665,5.16,129.0
25500097.204600,6669276.051090,2.66,731,2906,7.001,40.667,5.16,129.0
25500197.204600,6669276.051090,2.66,731,2906,7.001,40.670,5.16,129.0
25500297.204600,6669276.051090,2.66,731,2906,7.000,40.673,5.16,129.0
25500397.204600,6669276.051090,2.66,731,2906,6.999,40.675,5.16,129.0
25500497.204600,6669276.051090,2.66,731,2906,6.998,40.678,5.16,129.0
25500797.204600,6669276.051090,2.66,731,2906,6.994,40.686,5.16,128.9
25500897.204600,6669276.051090,2.66,731,2906,6.993,40.689,5.16,128.9
25500997.204600,6669276.051090,2.66,731,2906,6.992,40.692,5.16,128.9
25501097.204600,6669276.051090,2.66,731,2906,6.990,40.695,5.16,128.9
25501197.204600,6669276.051090,2.66,731,2906,6.989,40.698,5.16,128.9
25501997.204600,6669276.051090,3.17,731,2675,6.972,40.722,5.16,128.9
25502097.204600,6669276.051090,3.17,731,2675,6.970,40.725,5.15,128.9
