x,y,k_rock,Cp_rock,rho_rock,T_surface,q_geothermal
25513549.522400,6686608.985010,3.200000,721.000000,2640.000000,6.645950,42.203278
25513649.522400,6686608.985010,3.200000,721.000000,2640.000000,6.649017,42.209343
25512149.522400,6686508.985010,3.100000,723.000000,2794.000000,6.616228,42.107342
25512249.522400,6686508.985010,3.100000,723.000000,2794.000000,6.617804,42.113552
25512349.522400,6686508.985010,3.100000,723.000000,2794.000000,6.619478,42.119759
25512449.522400,6686508.985010,3.100000,723.000000,2794.000000,6.621282,42.125969
25512549.522400,6686508.985010,3.100000,723.000000,2794.000000,6.623229,42.132179
25512649.522400,6686508.985010,3.100000,723.000000,2794.000000,6.625314,42.138386
25512749.522400,6686508.985010,3.100000,723.000000,2794.000000,6.627522,42.144596
25512849.522400,6686508.985010,3.100000,723.000000,2794.000000,6.629842,42.150806
25512949.522400,6686508.985010,3.100000,723.000000,2794.000000,6.632275,42.157013
25513049.522400,6686508.985010,3.100000,723.000000,2794.000000,6.634826,42.163223
25513149.522400,6686508.985010,3.100000,723.000000,2794.000000,6.637475,42.169434
25513249.522400,6686508.985010,3.100000,723.000000,2794.000000,6.640202,42.175591
25513349.522400,6686508.985010,3.100000,723.000000,2794.000000,6.642989,42.181641
25513449.522400,6686508.985010,3.100000,723.000000,2794.000000,6.645817,42.187691
25513549.522400,6686508.985010,3.100000,723.000000,2794.000000,6.648691,42.193741
25513649.522400,6686508.985010,3.200000,721.000000,2640.000000,6.651635,42.199791
25513749.522400,6686508.985010,3.200000,721.000000,2640.000000,6.654665,42.205845
25511849.522400,6686408.985010,3.100000,723.000000,2794.000000,6.614128,42.079498
25511949.522400,6686408.985010,3.100000,723.000000,2794.000000,6.615519,42.085690
25512049.522400,6686408.985010,3.100000,723.000000,2794.000000,6.616952,42.091877
25512149.522400,6686408.985010,3.100000,723.000000,2794.000000,6.618428,42.098064
25512249.522400,6686408.985010,3.100000,723.000000,2794.000000,6.619958,42.104256
25512349.522400,6686408.985010,3.100000,723.000000,2794.000000,6.621603,42.110443
25512449.522400,6686408.985010,3.100000,723.000000,2794.000000,6.623428,42.116634
25512549.522400,6686408.985010,3.100000,723.000000,2794.000000,6.625456,42.122822
25512649.522400,6686408.985010,3.100000,723.000000,2794.000000,6.627653,42.129009
25512749.522400,6686408.985010,3.100000,723.000000,2794.000000,6.629971,42.135201
25512849.522400,6686408.985010,3.100000,723.000000,2794.000000,6.632389,42.141388
25512949.522400,6686408.985010,3.100000,723.000000,2794.000000,6.634907,42.147575
25513049.522400,6686408.985010,3.100000,723.000000,2794.000000,6.637534,42.153767
25513149.522400,6686408.985010,3.100000,723.000000,2794.000000,6.640251,42.159954
25513249.522400,6686408.985010,3.100000,723.000000,2794.000000,6.643021,42.166096
25513349.522400,6686408.985010,3.100000,723.000000,2794.000000,6.645808,42.172131
25513449.522400,6686408.985010,3.100000,723.000000,2794.000000,6.648574,42.178169
25513549.522400,6686408.985010,3.100000,723.000000,2794.000000,6.651329,42.184204
25513649.522400,6686408.985010,3.200000,721.000000,2640.000000,6.654138,42.190243
25513749.522400,6686408.985010,3.200000,721.000000,2640.000000,6.657036,42.196278
25513849.522400,6686408.985010,3.200000,721.000000,2640.000000,6.660020,42.202316
25511549.522400,6686308.985010,3.100000,723.000000,2794.000000,6.612621,42.051777
25511649.522400,6686308.985010,3.100000,723.000000,2794.000000,6.613907,42.057945
25511749.522400,6686308.985010,3.100000,723.000000,2794.000000,6.615234,42.064114
25511849.522400,6686308.985010,3.100000,723.000000,2794.000000,6.616575,42.070282
25511949.522400,6686308.985010,3.100000,723.000000,2794.000000,6.617937,42.076454
25512049.522400,6686308.985010,3.100000,723.000000,2794.000000,6.619324,42.082623
25512149.522400,6686308.985010,3.100000,723.000000,2794.000000,6.620743,42.088791
25512249.522400,6686308.985010,3.100000,723.000000,2794.000000,6.622195,42.094959
25512349.522400,6686308.985010,3.100000,723.000000,2794.000000,6.623763,42.101128
25512449.522400,6686308.985010,3.100000,723.000000,2794.000000,6.625596,42.107296
25512549.522400,6686308.985010,3.100000,723.000000,2794.000000,6.627712,42.113464
25512649.522400,6686308.985010,3.100000,723.000000,2794.000000,6.630007,42.119633
25512749.522400,6686308.985010,3.100000,723.000000,2794.000000,6.632413,42.125801
25512849.522400,6686308.985010,3.100000,723.000000,2794.000000,6.634906,42.131969
25512949.522400,6686308.985010,3.100000,723.000000,2794.000000,6.637489,42.138142
25513049.522400,6686308.985010,3.100000,723.000000,2794.000000,6.640170,42.144310
25513149.522400,6686308.985010,3.100000,723.000000,2794.000000,6.642941,42.150478
25513249.522400,6686308.985010,3.100000,723.000000,2794.000000,6.645767,42.156601
25513349.522400,6686308.985010,3.100000,723.000000,2794.000000,6.648581,42.162621
25513449.522400,6686308.985010,3.100000,723.000000,2794.000000,6.651277,42.168644
25513549.522400,6686308.985010,3.200000,721.000000,2640.000000,6.653872,42.174667
25513649.522400,6686308.985010,3.200000,721.000000,2640.000000,6.656504,42.180691
25513749.522400,6686308.985010,3.200000,721.000000,2640.000000,6.659246,42.186714
25513849.522400,6686308.985010,3.200000,721.000000,2640.000000,6.662107,42.192738
